Link To Article,Image,Title,Description,Author,Publish Date,Full Article
https://farmnewsnow.com/2023/04/11/agriculture-roundup-for-tuesday-april-11-2023/,https://s3.amazonaws.com/socast-superdesk/media/20230411170444/22240d13-bde5-458f-9a55-71727b8895ca.jpg,"Agriculture Roundup for Tuesday, April 11, 2023","Saskatchewan, Alberta, and Manitoba have signed an agreement to work together on improving transportation corridors.Saskatchewan Highways Minister Jeremy Cockrill said it's important to work with its Prairie neighbours to ensure the safe, reliable, and sustainable movement of products to markets around the world.""...",,2h ago,"Saskatchewan, Alberta, and Manitoba have signed an agreement to work together on improving transportation corridors.
Saskatchewan Highways Minister Jeremy Cockrill said it’s important to work with its Prairie neighbours to ensure the safe, reliable, and sustainable movement of products to markets around the world.
“The world needs what Saskatchewan has to offer,” Cockrill said. “We rely on dependable, robust, road, rail, air and port networks to ship our food, fuel and fertilizer across North America and around the globe.”
Manitoba Transportation and Infrastructure Minister Doyle Piwniuk said his province’s unique gateway and hub initiatives cannot develop in isolation.
“That’s why external cooperative partnerships will leverage our initiatives for success,” Piwniuk said. “With similar trade and transport access such as distance to markets, reliance on international ports and railway services, and similar commodity basis, Saskatchewan and Alberta are natural key partners to work with on improving trade-enablement through transportation.”
Alberta’s Minister of Transportation and Economic Corridors Devin Dreeshen said he is proud to partner with Saskatchewan and Manitoba, taking a leadership role in building new trade corridors.
The memorandum commits the three provinces to improve efficiency of inter-provincial highway and rail networks, encourage the federal government for infrastructure funding and national supply chain solutions, grow capital investment, and harmonize regulations.
–
The Western Grains Research Foundation (WGRF) has elected its new chair.
Laura Reiter of Radisson, Sask. will replace outgoing chair Dr. Keith Degenhardt. 
Reiter said WGRF is a unique organization focused on funding crop research to benefit prairie farmers.
“Directing investments in field crop research on behalf of farmers is a responsibility that we all take very seriously, and I look forward to helping WGRF continue to invest in projects that will deliver a positive on-farm impact.”
Kevin Auch of Carmangay, Alta. was re-elected as the vice-chair.
WGRF is a farmer-funded and farmer-directed non-profit organization that has invested in more than $229 million in agricultural research.
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/10/canadas-ag-sector-looking-at-potential-massive-labour-shortage/,https://s3.amazonaws.com/socast-superdesk/media/20230410220452/82a0d21a-aca5-4dbf-8303-d979c5f22ef4.jpg,Canada's ag sector looking at potential massive labour shortage,"The country could be in desperate need of more farmers in around ten years time.That's according to a new report by the Royal Bank of Canada (RBC) which claims by 2033 there will be a shortage of around 24,000 workers. This is because the average age of a Canadian farmer is around 56 years old.Bob Reid, who farms in th...",,21h ago," The country could be in desperate need of more farmers in around ten years time.
That’s according to a new report by the Royal Bank of Canada (RBC) which claims by 2033 there will be a shortage of around 24,000 workers. This is because the average age of a Canadian farmer is around 56 years old.
Bob Reid, who farms in the Smeaton area, told paNOW finding younger people who want to be farmers becomes harder each and every year.
As to why, he believes many of today’s youth don’t have the work ethic.
“It’s too easy to get unemployment, it’s too easy to get benefits and sit and do nothing,” he said. “They’re not hungry, they have no ambition.” 
Because of this, Reid thinks these vacant positions will mostly be filled by foreign workers. 
This has already started on his farm as he’s had the same South African man on his payroll since late 2021. He said hiring him and helping his family legally move here was one of the best decisions he’s made as his work ethic is second to none. 
“When we’re rolling up a grain bag, he’s out of that truck and right there doing exactly what he’s supposed to do,” he said. 
The report also claimed around 40 per cent of farm operators will retire over the next ten years which will create one of the biggest leadership transitions in the country’s history.
It also stated around 66 per cent currently don’t have a succession plan in place.
“The bank wanted me to, but I said I wasn’t ready to face that yet,” added Reid who noted he keeps pushing the decision off as he doesn’t want someone to just sell his farmland.
Kerry Peterson, a Shellbrook area farmer, isn’t surprised to hear that many don’t know what they’re going to do with their land once they retire. He believes something you’ll see in around 10 years’ time are giant farms. 
“When a guy quits who doesn’t have someone to take over, it gets spread amongst the other farmers in the area,” he said. 
Peterson also mentioned foreign workers should help with the big labour shortage expected, but they most likely won’t be the answer when it comes to operators. He said this is because most people would be reluctant to give their farm to someone they’ve never met before and is just starting to make Canada their new home. 
Meanwhile, RBC’s report says foreign workers will only help in the short term. 
They believe the country needs to find a way to encourage more domestic workers to choose farming as a career which could include incentives and promoting agricultural education at different colleges and universities.
­__
Jaryn.Vecchio@pattisonmedia.com
On Twitter: @princealbertnow

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/10/ag-industry-will-be-involved-in-evaluating-the-post-pandemic-labour-market-situation/,https://s3.amazonaws.com/socast-superdesk/media/20230410210420/527729c1-0f8e-403d-a539-6d8ca0c66719.jpg,Ag industry will be involved in evaluating the post-pandemic labour market situation,The Canadian agriculture industry has been greatly affected by the COVID-19 pandemic and one of the most pressing issues that it faces today is the availability of skilled labour. Canadian Agricultural Human Resources Council (CAHRC) is launching a survey to evaluate the post-pandemic labour market situation. CAHRC is ...,,22h ago,"The Canadian agriculture industry has been greatly affected by the COVID-19 pandemic and one of the most pressing issues that it faces today is the availability of skilled labour. 
Canadian Agricultural Human Resources Council (CAHRC) is launching a survey to evaluate the post-pandemic labour market situation. 
CAHRC is a national, non-profit organization focused on addressing human resource issues facing agricultural businesses across Canada. The council works with industry leaders, governments, and educational stakeholders to research, develop and communicate solutions to the challenges in employment and skills development in primary agriculture.
Executive Director Jennifer Wright said the survey will serve as a reference point to the data that CAHRC has been gathering for almost a decade.
“The Canadian agriculture industry has been experiencing a growing labour shortage that is turning to a labour crisis. The update to this research will provide a measurement of what that labour shortage is currently and forecast what the future holds,” Wright said.
The COVID-19 pandemic exacerbated existing issues, such as labour shortages and other challenges. Wright said it’s crucial to understand the current market situation and the impact of the pandemic on the industry’s workforce and better understand how workforce needs have changed so the agricultural industry can present the new research to policy makers to guide future action.
“This data is often used to inform policy, funding, training and education programs and labour market information assessments,” she said. “The more participation we have in this survey the better the data will be.”
Roughly 800 Canadian farm owner-operators, agricultural workers and supporting stakeholder groups will be surveyed and the input received will guide future action on labour shortages. These individuals and organizations will have until Apr. 30 to complete the survey.
The previous Labour Market Information (LMI) study was completed in 2018. This update will investigate opportunities and barriers to participation among groups in Canada’s population that have traditionally been under-represented in the agricultural workforce. This includes Indigenous peoples, new Canadians, women, youth and older workers. 
The industries in this study will also expand to include agriculture retail, cannabis production and organic production.
The council represents farming in all forms including traditional and non-traditional livestock; producing, cultivating, growing, harvesting, or collecting conventional and non-conventional agriculture commodities; and any practices performed as an integral part of an agricultural operation. 
—
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/10/agriculture-roundup-for-monday-april-10-2023/,https://s3.amazonaws.com/socast-superdesk/media/2023041015040/3efb463e-6217-483a-a175-31fd6363a5d2.jpg,"Agriculture Roundup for Monday April 10, 2023","A new report said more than 40 per cent of farm operators will retire over the next decade, leaving Canada with a shortage.The report from the RBC, Boston Consulting Group Centre for Canada's Future and Arrell Food Institute at the University of Guelph said the country will be short 24,000 general farm, nursery, and gr...",,"Apr 10, 2023","A new report said more than 40 per cent of farm operators will retire over the next decade, leaving Canada with a shortage.
The report from the RBC, Boston Consulting Group Centre for Canada’s Future and Arrell Food Institute at the University of Guelph said the country will be short 24,000 general farm, nursery, and greenhouse operators.
It also estimated that 66 per cent of producers do not have a succession plan in place.
To address the shortage and lack of succession plans, the report said Canada will need to accept 30,000 permanent immigrants by 2033 to take over existing farms and greenhouses or establish their own.
It also recommended the country build a new pipeline of domestic operators and workers by bolstering agriculture education and increasing spending on automation, which can make existing farms more efficient.
The report added the shortage will come at a critical moment because Canada’s agricultural sector will need to produce significantly more food for a growing world population but must also cut emissions to meet climate targets.
–
Britain’s envoy to Canada said an uproar in the Prairies over an expanded trade deal could be overcome by ranchers rejigging their beef operations to meet U.K. standards.
In an interview, British High Commissioner to Canada Susannah Goshko said Brits don’t want their government to budge on barring imports of beef raised with certain hormones.
But groups like the Canadian Cattle Association said that concern isn’t based in science and that the U.K. is already exporting far more beef to Canada than trade in the other direction.
The industry wants Canada to block Britain’s entry to a massive Pacific Rim trade bloc and halt the ongoing negotiations for a separate U.K.-Canada trade deal until the Brits change their stance.
Goshko said the solution might be for Canadian ranchers to instead change their way of raising cows, as the Pacific Rim deal will allow vastly more quantities of Canadian beef to reach Britain.
She added the ongoing trade talks for a bilateral deal can give both countries an edge over the European Union, particularly in green tech and smaller businesses.
–
This year’s Canola Week will be held in Calgary.
The three-day event will provide updates on the state of the canola industry in Canada, agronomic issues, new innovations, and the latest research.
The conference will be presented in a hybrid format, allowing attendees to tune in remotely or attend in person.
The event has been held in Saskatoon, Sask. in the past.
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/06/agriculture-roundup-for-thursday-april-6-2023/,https://s3.amazonaws.com/socast-superdesk/media/20230406190424/282dad09-852e-4093-8c00-ad79bf46c3a7.jpg,"Agriculture Roundup for Thursday April 6, 2023",Spring weight restrictions are now in effect on Saskatchewan highways.It's used by the province and rural municipalities to reduce potential damage.Highways minister Jeremy Cockrill said weight restrictions prevent damage to pavement and the ground underneath roads during spring thaw which reduces maintenance costs.The...,,"Apr 06, 2023","Spring weight restrictions are now in effect on Saskatchewan highways.
It’s used by the province and rural municipalities to reduce potential damage.
Highways minister Jeremy Cockrill said weight restrictions prevent damage to pavement and the ground underneath roads during spring thaw which reduces maintenance costs.
The road bans reduce allowable weights on rural municipal roads and secondary weight on provincial highways by 10 to 15 per cent and usually last about six weeks.
These road restrictions usually begin in March, but due to colder weather last month, restrictions were delayed.
–
Three Prairie farmers will have a chance to win big for their hometowns this spring with the launch of Growing Home with BASF. 
Individuals in Alberta, Saskatchewan and Manitoba can nominate organizations that help grow their communities to win one of the $25,000 prizes.
BASF Canada Agricultural Solutions is launching a new community investment program, offering rural farming communities a chance to share what matters most to them. Community members will have the chance to rally around and raise support for their local organizations.
Nicole McAuley is the head of Communications and Public Affairs for BASF Canada Agricultural Solutions
“Farming is the biggest job on Earth and wouldn’t be possible without the inspiring community support seen throughout the agriculture industry,” McAuley said. “We are thrilled to have the opportunity to recognize and contribute to the essential institutions that connect and strengthen farming communities across the prairies.”
Nominations will be judged based on criteria including alignment to Canadian agriculture as well as BASF’s values-building safe and healthy communities; diversity, equity, and inclusion; and developing future leaders in agriculture. 
Out of the 15 finalists, five from each province will be selected and announced for public voting to select one winning organization in each province. 
Voting will be available throughout Canada, with the three winners to be announced in June.
–
Researchers at the University of Saskatchewan are looking for Saskatchewan farmers who have included a forage in either or both their 1991 to 1994 and 2016 to 2019 rotations. 
Even if farmers did not include a forage in the earlier period or if they do not believe their records are sufficient, they would still like to have input into their 2016 to 2019 production practices.
Through the survey, the researchers hope to be able to provide a more comprehensive understanding of how cattle producers have approached climate change mitigation, not only for research purposes, but for future policy development.
Producers will be compensated for their time.
The Forage Rotation Survey is available here.
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/06/usask-begins-research-on-insects-in-new-facility/,https://s3.amazonaws.com/socast-superdesk/media/20230406160440/86296ec6-e787-455d-be2f-ab861cadb143.jpg,USask begins research on insects in new facility,"The University of Saskatchewan (USask) will house the first insect research facility with quarantine capabilities in a western Canadian university. The Saskatchewan Insect Research Facility (USIRF), located in the Agriculture Building on the USask Saskatoon campus, is a 500-square-foot site meets Canadian Food Inspecti...",,"Apr 06, 2023","The University of Saskatchewan (USask) will house the first insect research facility with quarantine capabilities in a western Canadian university. 
The Saskatchewan Insect Research Facility (USIRF), located in the Agriculture Building on the USask Saskatoon campus, is a 500-square-foot site meets Canadian Food Inspection Agency Plant Protection Containment Level-2A requirements, allowing researchers to study non-native insects and pathogens that pose a potential threat to western Canadian crops. 
USask vice-president of research Dr. Baljit Singh said USIRF places the university in a unique position among research institutions in Canada.
“This facility, and the research it will lend itself to, is another example of how USask is leading in the areas of food security and agriculture. We are tackling important questions that will ultimately have an impact and better our communities,” he said.
USask entomologist and USIRF research lead Dr. Sean Prager said insects are an important part of agricultural ecosystems but some present huge economic and environmental risk.
“The USIRF provides us a space to pre-emptively study how these pests would work in our environment and with Saskatchewan crops before they become an issue,” Prager said. “This facility also allows us to involve students in this research, which means we can train students at the highest level of entomological research.”
The bio-secure insect-rearing and quarantine facility has mechanical and operating safeguards to prevent accidental release and cross-contamination of harmful species. The USIRF contains climate-controlled chambers for sustaining insects and infested plants, and space for conducting experiments. 
There will be collaborations between pest researchers and Crop Development Centre plant breeders. College of Agriculture and Bioresources Dean Dr. Angela Bedard-Haughn said researchers will be able to develop methods of managing insects, resulting in new ways to predict pest outbreaks, decrease pesticide use, and develop new pest-resistant crop varieties. 
“Our researchers will be able conduct the high-impact entomological research needed in Saskatchewan to develop more sustainable pest-management options and mitigate future risk,” Bedard-Haughn said. “These discoveries will have economic benefit for producers and help protect our agricultural ecosystems.” 
Funding for the USIRF comes from USask, the Western Grains Research Foundation, the Canada Foundation for Innovation, Saskatchewan Canola Development Commission, Saskatchewan Pulse Growers, and the Saskatchewan Wheat Development Commission.
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/06/livestock-summit-looks-for-ways-to-support-the-industry/,https://s3.amazonaws.com/socast-superdesk/media/20230406150412/e5f8718d-27a6-43a8-9583-8cc57b70f2ba.jpg,Livestock Summit looks for ways to support the industry,"Participants at yesterday's Agricultural Producers Association of Saskatchewan (APAS) Livestock Summit shared their concerns about the future the industry.Cattle, bison, and sheep producers expressed common concerns from accessing capital, business risk management programs to getting financial credit for maintaining pa...",,"Apr 06, 2023","Participants at yesterday’s Agricultural Producers Association of Saskatchewan (APAS) Livestock Summit shared their concerns about the future the industry.
Cattle, bison, and sheep producers expressed common concerns from accessing capital, business risk management programs to getting financial credit for maintaining pastures that serve as carbon sinks for the environment. 
After a day of discussions, a representative from each sector made a closing comment. 
Willowbrook cattle producer Levi Hall is concerned for the future. He said with each cattle producers that exits the business there is an increase in grain and oilseed acres. 
“Fight for me to stay in the business because I love what I do. My mom and dad are at home feeding cows. They shouldn’t have to do it. But I’m here fighting for the industry,” he said.
Hall is also a director with the Saskatchewan Cattlemen’s Association.
Merrick Wigness is a bison producer from Cadillac, which is south of Swift Current. He wanted grazing groups to combine resources to clear up common misconceptions about the livestock industry.
“I kind of wonder if there’s an opportunity for some of the grazing animal associations to get together and create some sort of a pooled fund, and put that money towards a sophisticated public relations effort to try and fight back against the message that cattle are evil or their burps are going to destroy the world,” Wigness said. 
Gord Schrader with the Saskatchewan Sheep Development Board said accessing capital is extremely hard because sheep are perceived as a cottage industry.
“We have a lot of producers that have a few acres and have a few sheep. But, I’m not sure that you’re aware our industry has farms that are well over 1,000 ewes,” he said. 
The final comment was made by APAS president Ian Boxall, who grows grain, but does not have livestock. He said it’s clear there are a number of issues including intergenerational transfers and financing.
He said there is a need to ‘think outside the box’ when looking for ways to access money and to recognize the work that’s already being done for the environment.
“The Canadian government right now has an ad promoting grasslands and how great they are. That’s because of the work of the livestock industry,” he said.
Boxall urged the federal government to acknowledge the work of the livestock industry.
APAS will summarize and prioritize policy issues raised at the summit and develop proposals to present to the federal and provincial governments. 
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/04/listen-troubling-weather-conditions-in-global-growing-areas/,https://s3.amazonaws.com/socast-superdesk/media/2023040421048/5b8cac37-ed6d-49a8-b6ae-4ed38578fec5.jpg,Listen: Troubling weather conditions in global growing areas,"Weather is the most important variable for crops, and poor weather in one part of the world will boost prices for farmers in another.That's why producers monitor conditions in other important global growing regions.World Weather agricultural meteorologist Drew Lerner recently reviewed weather conditions for other major...",,"Apr 04, 2023","Weather is the most important variable for crops, and poor weather in one part of the world will boost prices for farmers in another.
That’s why producers monitor conditions in other important global growing regions.
World Weather agricultural meteorologist Drew Lerner recently reviewed weather conditions for other major wheat and durum producing areas.
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/04/agriculture-roundup-for-tuesday-april-4-2023/,https://s3.amazonaws.com/socast-superdesk/media/20230404200448/43b73158-bec0-4dd3-a1db-6d61b396d83a.jpg,"Agriculture Roundup for Tuesday April 4, 2023","The Canadian Food Inspection Agency's (CFIA) National Centre for Foreign Animal Disease have confirmed that a domestic dog in Ontario has tested positive for highly pathogenic avian influenza (HPAI)The dog was infected after chewing on a wild goose and died after developing clinical signs.Further testing is underway, a...",,"Apr 04, 2023","The Canadian Food Inspection Agency’s (CFIA) National Centre for Foreign Animal Disease have confirmed that a domestic dog in Ontario has tested positive for highly pathogenic avian influenza (HPAI)
The dog was infected after chewing on a wild goose and died after developing clinical signs.
Further testing is underway, and it’s believed to be the only case of its kind in Canada.
CFIA said the number of documented cases of avian influenza H5N1 in non-avian species, such as cats and dogs is low, despite the fact that this virus has caused large avian outbreaks globally over the last few years.
Pet owners are advised to not feed pets any raw meat from game birds or poultry and to not allow pets to consume or play with dead wild birds found outside.
–
A five-year pulse cluster research program has been completed.
The Pulse Science Cluster addressed multiple issues including the development of genetically improved field pea varieties, mitigation of root rots, better understanding of nematodes, and new strategies for faba bean utilization and other pulse ingredients. 
Co-funding partners included Saskatchewan Pulse Growers, Alberta Pulse Growers, Manitoba Pulse and Soybean Growers, Ontario Bean Growers, as well as BASF, Bayer, Engage Agro, Syngenta, and Prairie Agricultural Machinery Institute (PAMI). 
The total value of research included under the five-year Pulse AgriScience Cluster is over $17 million, with $11.1 million coming from the CAP AgriScience Cluster program. 
–
Canadian Bison Association (CBA) has created a new program that will focus on research.
CBA President and research chair Les Kroeger said the bison industry needs to do more work to expand.
“The role of this committee will develop priorities for necessary research projects and evaluate and support research projects that will enhance the many areas within the bison industry in Canada and North America.” Kroeger said.
The research committee is to provide direction so research within the bison industry can occur in a timely and logical manner to preserve the holistic nature of bison while encouraging expansion and maintaining profitability. 
For additional information or to submit research proposals for consideration contact the CBA.
–
alice.mcfarlane@pattisonmedia.com
On Twitter: @farmnewsNOW

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
https://farmnewsnow.com/2023/04/03/farmcash-advances-now-available/,https://s3.amazonaws.com/socast-superdesk/media/20230403190436/23369a63-bcca-43c5-8874-9d3459247bac.jpg,FarmCash advances now available,"Farmers in the four western provinces can now receive their FarmCash advances.The program gives low-interest loans of up to $ 1 million with the first $ 250,000 interest-free. If the federal budget passes, that will go up to $350,000.""The Alberta Wheat Commission is proud to administer FarmCash as a service to agr...",,"Apr 03, 2023","Farmers in the four western provinces can now receive their FarmCash advances.
The program gives low-interest loans of up to $ 1 million with the first $ 250,000 interest-free. 
If the federal budget passes, that will go up to $350,000.
“The Alberta Wheat Commission is proud to administer FarmCash as a service to agricultural producers that allows them to mitigate some of the challenges of modern-day farm financing,” says AWC chair and Sexsmith farmer Greg Sears.
“Recently, farmers have taken hits to their bottom line through higher interest rates and volatility in farm input prices. With FarmCash, producers can count on receiving the lowest lending rate available and having access to cash flow for their farm quickly and easily,” adds Sears in a release.
Applications can be sent here.
The organization says in a release farmers could get the money in three to five days.

PO Box 750611 Main StreetMelfort, SKS0E 1A0
Phone: 306-752-8263Newsroom: 306-752-6397
We strive to achieve the highest ethical standards in all that we do. Our newsroom abides by the RTNDA Code of Ethics and Professional Conduct and follows the Canadian Press Stylebook.
farmnewsNOW IS A DIVISION OF
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
"
